Id,Name,StockKeepingUnit,ProductCode,ProductClass,Description,DisplayUrl,Family,IsActive,State__c,Grade_Level__c,Category__c,Series__c,Pricing_Group__c,Coursewave_Code__c,CreatedDate,LastModifiedDate
01tam00000BCKsfAAH,Gearing Up for 3rd Grade Mathematics,ISBN: 641174992,64117-499-2,Simple,,,,true,Alaska,Grade 2,Math,Gearing Up,,,2026-02-18T13:57:15.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKsgAAH,Gearing Up for 4th Grade English Language Arts,ISBN: 641175302,64117-530-2,Simple,,,,true,Alaska,Grade 3,English,Gearing Up,,,2026-02-18T13:57:16.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKuHAAX,Biology Foundations,ISBN: 641170208,64117-020-8,Simple,,,,true,Alaska,Grade 9,Science,Foundations,,,2026-02-18T13:57:19.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKvuAAH,Gearing Up for Algebra I,ISBN: 641175265,64117-526-5,Simple,,,,true,Alaska,Grade 8,Math,Gearing Up,,,2026-02-18T13:57:23.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKvtAAH,Gearing Up for 9th Grade Literature & Composition,ISBN: 641175357,64117-535-7,Simple,,,,true,Alaska,Grade 8,English,Gearing Up,,,2026-02-18T13:57:23.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKxVAAX,Gearing Up for 6th Grade English Language Arts,ISBN: 641175326,64117-532-6,Simple,,,,true,Alaska,Grade 5,English,Gearing Up,,,2026-02-18T13:57:26.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKxWAAX,Gearing Up for 6th Grade Mathematics,ISBN: 641175234,64117-523-4,Simple,,,,true,Alaska,Grade 5,Math,Gearing Up,,,2026-02-18T13:57:29.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCJgUAAX,Gearing Up for 7th Grade English Language Arts,ISBN: 641175333,64117-533-3,Simple,,,,true,Alaska,Grade 6,English,Gearing Up,,,2026-02-18T13:57:40.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCKzOAAX,South Carolina GET READY Success Grade 8 ELA,ISBN: 641177023,64117-702-3,Simple,,,,true,South Carolina,Grade 8,English,GET READY Success,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCKzQAAX,South Carolina SCCCRS Success Grade 2 Mathematics,ISBN: 641177894,64117-789-4,Simple,,,,true,South Carolina,Grade 2,Math,SCCCRS Success,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKz7AAH,South Carolina GET READY Success Grade 7 ELA,ISBN: 641177016,64117-701-6,Simple,,,,true,South Carolina,Grade 7,English,GET READY Success,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCKz8AAH,South Carolina GET READY Success Grade 6 Mathematics,ISBN: 641177269,64117-726-9,Simple,,,,true,South Carolina,Grade 6,Math,GET READY Success,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCKz9AAH,South Carolina SCCCRS Success English 1,ISBN: 641177764,64117-776-4,Simple,,,South Carolina,true,,,English,,,,2026-02-18T13:57:43.000+0000,2026-03-16T03:59:51.000+0000
01tam00000BCKzAAAX,South Carolina SCCCRS Success Algebra 2 with Probability,ISBN: 641177467,64117-746-7,Simple,,,,true,South Carolina,Grade 11,Math,SCCCRS Success,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:05:26.000+0000
01tam00000BCKzBAAX,South Carolina GET READY Success Grade 5 ELA,ISBN: 641176996,64117-699-6,Simple,,,,true,South Carolina,Grade 5,English,GET READY Success,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCKzCAAX,South Carolina SCCCRS Success Grade 1 Mathematics,ISBN: 641177887,64117-788-7,Simple,,,South Carolina,true,,,Math,,,,2026-02-18T13:57:43.000+0000,2026-03-16T03:59:51.000+0000
01tam00000BCKzDAAX,Tennessee TAS Success Grade 3 Social Studies,ISBN: 641174411,64117-441-1,Simple,,,,true,Tennessee,Grade 3,Social Studies,TAS Success,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzEAAX,South Carolina GET READY Success Grade 6 ELA,ISBN: 641177009,64117-700-9,Simple,,,,true,South Carolina,Grade 6,English,GET READY Success,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCKzFAAX,South Carolina Success Geometry with Statistics,ISBN: 641177306,64117-730-6,Simple,,,,true,South Carolina,Grade 9,Math,,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzGAAX,Tennessee TAS Success Grade 4 Social Studies,ISBN: 641174404,64117-440-4,Simple,,,,true,Tennessee,Grade 4,Social Studies,TAS Success,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzHAAX,South Carolina SCCCRS Success Grade 1 ELA,ISBN: 641178150,64117-815-0,Simple,,,,true,South Carolina,Grade 1,English,SCCCRS Success,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzIAAX,South Carolina SCCCRS Success Grade 2 ELA,ISBN: 641178174,64117-817-4,Simple,,,,true,South Carolina,Grade 2,English,SCCCRS Success,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzJAAX,South Carolina GET READY Success Grade 8 Mathematics,ISBN: 641177283,64117-728-3,Simple,,,,true,South Carolina,Grade 8,Math,GET READY Success,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCKzKAAX,Tennessee Civics Test Success,ISBN: 641177382,64117-738-2,Simple,,,,true,Tennessee,Grade 9,Social Studies,,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzLAAX,South Carolina SCCCRS Success Kindergarten ELA,ISBN: 641178143,64117-814-3,Simple,,,South Carolina,true,,,English,,,,2026-02-18T13:57:43.000+0000,2026-03-16T03:59:51.000+0000
01tam00000BCKzMAAX,South Carolina GET READY Success Grade 5 Mathematics,ISBN: 641177252,64117-725-2,Simple,,,,true,South Carolina,Grade 5,Math,GET READY Success,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCKzNAAX,South Carolina SCCCRS Success Kindergarten Mathematics,ISBN: 641177870,64117-787-0,Simple,,,South Carolina,true,,,Math,,,,2026-02-18T13:57:43.000+0000,2026-03-16T03:59:51.000+0000
01tam00000BCKzPAAX,South Carolina GET READY Success Grade 7 Mathematics,ISBN: 641177276,64117-727-6,Simple,,,,true,South Carolina,Grade 7,Math,GET READY Success,,,2026-02-18T13:57:43.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCKzgAAH,Tennessee TCAP Success Biology,ISBN: 641177375,64117-737-5,Simple,,,,true,Tennessee,Grade 9,Science,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzfAAH,Tennessee TCAP Success Grade 6 English Language Arts,ISBN: 641173278,64117-327-8,Simple,,,,true,Tennessee,Grade 6,English,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzeAAH,Tennessee TCAP Success Grade 2 English Language Arts,ISBN: 641173902,64117-390-2,Simple,,,,true,Tennessee,Grade 2,English,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzdAAH,Tennessee TCAP Success Algebra I,ISBN: 641174817,64117-481-7,Simple,,,,true,Tennessee,Grade 9,Math,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzcAAH,Tennessee TCAP Success Grade 4 Mathematics,ISBN: 641174879,64117-487-9,Simple,,,,true,Tennessee,Grade 4,Math,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzbAAH,Tennessee TCAP Success Algebra II,ISBN: 641174824,64117-482-4,Simple,,,,true,Tennessee,Grade 9,Math,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzaAAH,Tennessee TCAP Success Grade 2 Mathematics,ISBN: 641174855,64117-485-5,Simple,,,,true,Tennessee,Grade 2,Math,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzZAAX,Tennessee TCAP Success Geometry,ISBN: 641174831,64117-483-1,Simple,,,Tennessee,true,,,Math,,,,2026-02-18T13:57:47.000+0000,2026-03-16T03:59:51.000+0000
01tam00000BCKzYAAX,Tennessee TCAP Success Grade 5 Mathematics,ISBN: 641174886,64117-488-6,Simple,,,,true,Tennessee,Grade 5,Math,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzXAAX,Tennessee TCAP Success Grade 4 English Language Arts,ISBN: 641173193,64117-319-3,Simple,,,,true,Tennessee,Grade 4,English,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzWAAX,Tennessee TCAP Success English II,ISBN: 641173391,64117-339-1,Simple,,,,true,Tennessee,Grade 10,English,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzVAAX,Tennessee TCAP Success Grade 3 Mathematics,ISBN: 641174862,64117-486-2,Simple,,,,true,Tennessee,Grade 3,Math,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzUAAX,Tennessee TCAP Success Grade 5 Science,ISBN: 641177337,64117-733-7,Simple,,,,true,Tennessee,Grade 5,Science,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzTAAX,Tennessee TCAP Success Grade 3 Science,ISBN: 641177313,64117-731-3,Simple,,,,true,Tennessee,Grade 3,Science,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzSAAX,Tennessee TCAP Success Grade 5 English Language Arts,ISBN: 641173230,64117-323-0,Simple,,,,true,Tennessee,Grade 5,English,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzRAAX,Tennessee TCAP Success English I,ISBN: 641173384,64117-338-4,Simple,,,,true,Tennessee,Grade 10,English,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzjAAH,Tennessee TAS Success Grade 5 Social Studies,ISBN: 641174770,64117-477-0,Simple,,,,true,Tennessee,Grade 5,Social Studies,TAS Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKzhAAH,Tennessee TCAP Success Grade 4 Science,ISBN: 641177320,64117-732-0,Simple,,,,true,Tennessee,Grade 4,Science,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCKziAAH,Tennessee TCAP Success Grade 3 English Language Arts,ISBN: 641173155,64117-315-5,Simple,,,,true,Tennessee,Grade 3,English,TCAP Success,,,2026-02-18T13:57:47.000+0000,2026-03-27T17:05:27.000+0000
01tam00000BCL0wAAH,Georgia K-12 Standards Success Grade 4 ELA,ISBN: 641177719,64117-771-9,Simple,,,,true,Georgia,Grade 4,English,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0jAAH,Georgia K-12 Standards Success Grade 1 Mathematics,ISBN: 641177566,64117-756-6,Simple,,,,true,Georgia,Grade 1,Math,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0kAAH,Georgia K-12 Standards Success Grade 6 ELA,ISBN: 641177733,64117-773-3,Simple,,,,true,Georgia,Grade 6,English,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0lAAH,Georgia K-12 Standards Success Grade 7 Mathematics,ISBN: 641175951,64117-595-1,Simple,,,,true,Georgia,Grade 7,Math,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0mAAH,Georgia K-12 Standards Success Grade 1 ELA,ISBN: 641177559,64117-755-9,Simple,,,,true,Georgia,Grade 1,English,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0nAAH,Georgia K-12 Standards Success Enhanced Advanced Algebra and AP Precalculus: Concepts & Connections EOC Alternative Sequence,ISBN: 641176866,64117-686-6,Simple,,,,true,Georgia,Grade 9,Math,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0oAAH,Georgia K-12 Standards Success Grade 3 ELA,ISBN: 641177702,64117-770-2,Simple,,,,true,Georgia,Grade 3,English,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0pAAH,Georgia K-12 Standards Success Grade 8 ELA,ISBN: 641177757,64117-775-7,Simple,,,,true,Georgia,Grade 8,English,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0qAAH,Georgia K-12 Standards Success Grade 4 Mathematics,ISBN: 641175920,64117-592-0,Simple,,,,true,Georgia,Grade 4,Math,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0rAAH,Georgia K-12 Standards Success Grade 5 ELA,ISBN: 641177726,64117-772-6,Simple,,,,true,Georgia,Grade 5,English,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0sAAH,Georgia K-12 Standards Success Enhanced Advanced Algebra and AP Precalculus: Concepts & Connections EOC,ISBN: 641177429,64117-742-9,Simple,,,,true,Georgia,Grade 9,Math,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0tAAH,Georgia K-12 Standards Success Grade 6 Mathematics,ISBN: 641175944,64117-594-4,Simple,,,,true,Georgia,Grade 6,Math,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0uAAH,Georgia K-12 Standards Success Grade 3 Mathematics,ISBN: 641175913,64117-591-3,Simple,,,,true,Georgia,Grade 3,Math,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0vAAH,Georgia K-12 Standards Success Grade 8 Mathematics,ISBN: 641175968,64117-596-8,Simple,,,,true,Georgia,Grade 8,Math,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0xAAH,Georgia K-12 Standards Success Grade 5 Mathematics,ISBN: 641175937,64117-593-7,Simple,,,,true,Georgia,Grade 5,Math,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0yAAH,Georgia K-12 Standards Success Grade 2 Mathematics,ISBN: 641177580,64117-758-0,Simple,,,,true,Georgia,Grade 2,Math,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL0zAAH,Georgia K-12 Standards Success Enhanced Algebra: Concepts & Connections EOC,ISBN: 641176460,64117-646-0,Simple,,,Georgia,false,,,Math,,,,2026-02-18T13:57:53.000+0000,2026-03-16T07:13:05.000+0000
01tam00000BCL10AAH,Georgia K-12 Standards Success Grade 2 ELA,ISBN: 641177573,64117-757-3,Simple,,,,true,Georgia,Grade 2,English,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL11AAH,Georgia K-12 Standards Success Geometry: Concepts & Connections,ISBN: 641176484,64117-648-4,Simple,,,,true,Georgia,Grade 9,Math,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL12AAH,Georgia K-12 Standards Success Grade 7 ELA,ISBN: 641177740,64117-774-0,Simple,,,,true,Georgia,Grade 7,English,Georgia K-12 Standards Success,,,2026-02-18T13:57:53.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL13AAH,Kentucky KSA Success Grade 4 Mathematics,ISBN: 641177863,64117-786-3,Simple,,,,true,Kentucky,Grade 4,Math,KSA Success,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCL1FAAX,Kentucky ACT Achievement Science,ISBN: 641176163,64117-616-3,Simple,,,,true,Kentucky,Grade 12,Science,Kentucky ACT Achievement,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL1GAAX,Kentucky ACT Achievement English,ISBN: 641176132,64117-613-2,Simple,,,,true,Kentucky,Grade 12,English,Kentucky ACT Achievement,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL1HAAX,Kentucky KSA Success Grade 11 Science,ISBN: 641176187,64117-618-7,Simple,,,,true,Kentucky,Grade 11,Science,KSA Success,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCL1IAAX,Kentucky KSA Success Grade 4 Reading,ISBN: 641175395,64117-539-5,Simple,,,,true,Kentucky,Grade 4,Reading,KSA Success,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCL1JAAX,Georgia K-12 Standards Success Literature & Composition III,ISBN: 641177696,64117-769-6,Simple,,,,true,Georgia,Grade 9,English,Georgia K-12 Standards Success,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL1KAAX,Georgia K-12 Standards Success Kindergarten ELA,ISBN: 641177597,64117-759-7,Simple,,,Georgia,false,,,English,,,,2026-02-18T13:57:59.000+0000,2026-03-16T07:20:52.000+0000
01tam00000BCL1LAAX,Kentucky KSA Success Grade 10 Reading,ISBN: 641177443,64117-744-3,Simple,,,,true,Kentucky,Grade 10,Reading,KSA Success,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCL1MAAX,Kentucky ACT Achievement Reading,ISBN: 641176156,64117-615-6,Simple,,,,true,Kentucky,Grade 12,Reading,Kentucky ACT Achievement,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL19AAH,Kentucky KSA Success Grade 3 Mathematics,ISBN: 641177856,64117-785-6,Simple,,,,true,Kentucky,Grade 3,Math,KSA Success,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCL14AAH,Kentucky KSA Success Grade 3 Reading,ISBN: 641175388,64117-538-8,Simple,,,,true,Kentucky,Grade 3,Reading,KSA Success,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCL1EAAX,"Kentucky KSA Success Grade 11 On-Demand Writing, Editing, & Mechanics",ISBN: 641175470,64117-547-0,Simple,,,,true,Kentucky,Grade 11,Writing,KSA Success,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCL15AAH,Georgia K-12 Standards Success Literature & Composition II,ISBN: 641177634,64117-763-4,Simple,,,,true,Georgia,Grade 9,English,Georgia K-12 Standards Success,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL16AAH,Georgia K-12 Standards Success Literature & Composition I,ISBN: 641177689,64117-768-9,Simple,,,,true,Georgia,Grade 9,English,Georgia K-12 Standards Success,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL18AAH,Kentucky KSA Success Grade 10 Mathematics,ISBN: 641175555,64117-555-5,Simple,,,,true,Kentucky,Grade 10,Math,KSA Success,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCL17AAH,Kentucky ACT Achievement Math,ISBN: 641176149,64117-614-9,Simple,,,,true,Kentucky,Grade 12,Math,Kentucky ACT Achievement,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL1DAAX,Kentucky KSA Success Grade 4 Science,ISBN: 641176194,64117-619-4,Simple,,,,true,Kentucky,Grade 4,Science,KSA Success,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCL1CAAX,Kentucky ACT Achievement Writing,ISBN: 641176170,64117-617-0,Simple,,,,true,Kentucky,Grade 12,Writing,Kentucky ACT Achievement,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:07:41.000+0000
01tam00000BCL1BAAX,Kentucky KSA Success Grade 11 Social Studies,ISBN: 641176835,64117-683-5,Simple,,,,true,Kentucky,Grade 11,Social Studies,KSA Success,,,2026-02-18T13:57:59.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCL1AAAX,Georgia K-12 Standards Success Kindergarten Mathematics,ISBN: 641177603,64117-760-3,Simple,,,Georgia,false,,,Math,,,,2026-02-18T13:57:59.000+0000,2026-03-16T07:21:07.000+0000
01tam00000BCL2LAAX,Gearing Up for 4th Grade Mathematics,ISBN: 641175210,64117-521-0,Simple,,,,true,Alaska,Grade 3,Math,Gearing Up,,,2026-02-18T13:58:05.000+0000,2026-03-27T17:05:24.000+0000
01tam00000BCL3xAAH,Middle School Integrated Science Foundations,ISBN: 628009675,62800-967-5,Simple,,,,true,Alaska,Grade 6,Science,Foundations,,,2026-02-18T13:58:08.000+0000,2026-03-27T17:05:26.000+0000
01tam00000BCCnBAAX,Oklahoma OSTP Success Grade 4 Mathematics,ISBN: 641176569,64117-656-9,Simple,,,,true,Oklahoma,Grade 4,Math,OSTP Success,,,2026-02-18T13:58:12.000+0000,2026-03-27T17:05:26.000+0000
01tam00000BCCnDAAX,North Carolina EOG Grade 7 Mathematics,ISBN: 641173629,64117-362-9,Simple,,,,true,North Carolina,Grade 7,Math,,,,2026-02-18T13:58:12.000+0000,2026-03-27T17:05:26.000+0000
